      0.0000000       1.0000000       0.0000000
      0.0200000       0.9998000      -0.0199987
      0.0400000       0.9992001      -0.0399893
      0.0600000       0.9982005      -0.0599640
      0.0800000       0.9968017      -0.0799147
      0.1000000       0.9950042      -0.0998334
      0.1200000       0.9928086      -0.1197122
      0.1400000       0.9902160      -0.1395431
      0.1600000       0.9872273      -0.1593182
      0.1800000       0.9838437      -0.1790296
      0.2000000       0.9800666      -0.1986693
      0.2200000       0.9758974      -0.2182296
      0.2400000       0.9713380      -0.2377026
      0.2600000       0.9663900      -0.2570806
      0.2800000       0.9610554      -0.2763556
      0.3000000       0.9553365      -0.2955202
      0.3200000       0.9492354      -0.3145666
      0.3400000       0.9427547      -0.3334871
      0.3600000       0.9358968      -0.3522742
      0.3800000       0.9286646      -0.3709205
      0.4000000       0.9210610      -0.3894183
      0.4200000       0.9130889      -0.4077605
      0.4400000       0.9047517      -0.4259395
      0.4600000       0.8960525      -0.4439481
      0.4800000       0.8869949      -0.4617792
      0.5000000       0.8775826      -0.4794255
      0.5200000       0.8678192      -0.4968801
      0.5400000       0.8577087      -0.5141360
      0.5600000       0.8472551      -0.5311862
      0.5800000       0.8364627      -0.5480239
      0.6000000       0.8253356      -0.5646425
      0.6200000       0.8138785      -0.5810352
      0.6400000       0.8020958      -0.5971954
      0.6600000       0.7899922      -0.6131169
      0.6800000       0.7775727      -0.6287930
      0.7000000       0.7648422      -0.6442177
      0.7200000       0.7518057      -0.6593847
      0.7400000       0.7384686      -0.6742879
      0.7600000       0.7248360      -0.6889214
      0.7800000       0.7109135      -0.7032794
      0.8000000       0.6967067      -0.7173561
      0.8200000       0.6822212      -0.7311458
      0.8400000       0.6674628      -0.7446431
      0.8600000       0.6524375      -0.7578426
      0.8800000       0.6371511      -0.7707389
      0.9000000       0.6216100      -0.7833269
      0.9200000       0.6058202      -0.7956016
      0.9400000       0.5897880      -0.8075581
      0.9600000       0.5735200      -0.8191916
      0.9800000       0.5570225      -0.8304974
      1.0000000       0.5403023      -0.8414710
