0.725000 -0.461711 0.059189 0.000243 
0.750000 -0.467537 0.036034 0.000190 
0.775000 -0.474107 0.029370 0.000171 
0.800000 -0.480369 0.025733 0.000160 
0.825000 -0.484663 0.020306 0.000142 
0.850000 -0.488910 0.015630 0.000125 
0.875000 -0.493342 0.013374 0.000116 
0.900000 -0.494570 0.008300 0.000091 
0.925000 -0.497348 0.004661 0.000068 
0.950000 -0.498624 0.002305 0.000048 
0.975000 -0.499698 0.000608 0.000025 
1.000000 -0.500000 0.000000 0.000000 
1.025000 -0.499633 0.000639 0.000025 
1.050000 -0.498722 0.002687 0.000052 
1.075000 -0.497182 0.006293 0.000079 
1.100000 -0.495004 0.011526 0.000107 
1.125000 -0.491903 0.019914 0.000141 
1.150000 -0.488559 0.113655 0.000337 
1.175000 -0.485142 0.040890 0.000202 
1.200000 -0.479988 0.055578 0.000236 
